installation,branch,state,joint_base,latitude,longitude,url
Pentagon,Department of Defense,DC,,+38.8709991,-77.0559590,https://installations.militaryonesource.mil/military-installation/pentagon/child-and-youth-services/child-and-youth-programs
Dover AFB,Air Force,DE,,+39.1243840,-75.4697989,https://installations.militaryonesource.mil/military-installation/dover-afb/child-and-youth-services/child-and-youth-programs
Eglin AFB,Air Force,FL,,+30.5743769,-86.5329215,https://installations.militaryonesource.mil/military-installation/eglin-afb/child-and-youth-services/child-and-youth-programs
Hurlburt Fld,Air Force,FL,,+30.4263720,-86.7192865,https://installations.militaryonesource.mil/military-installation/hurlburt-fld/child-and-youth-services/child-and-youth-programs
Macdill AFB,Air Force,FL,,+27.8491777,-82.5107811,https://installations.militaryonesource.mil/military-installation/macdill-afb/child-and-youth-services/child-and-youth-programs
Naval Air Station Jacksonville,Navy,FL,,+30.2213891,-81.6882206,https://installations.militaryonesource.mil/military-installation/naval-air-station-jacksonville/child-and-youth-services/child-and-youth-programs
Naval Air Station Key West,Navy,FL,,+24.5877535,-81.6673820,https://installations.militaryonesource.mil/military-installation/naval-air-station-key-west/child-and-youth-services/child-and-youth-programs
Naval Air Station Pensacola,Navy,FL,,+30.3506144,-87.3169020,https://installations.militaryonesource.mil/military-installation/naval-air-station-pensacola/child-and-youth-services/child-and-youth-programs
Naval Air Station Whiting Field,Navy,FL,,+30.7116442,-87.0189777,https://installations.militaryonesource.mil/military-installation/naval-air-station-whiting-field/child-and-youth-services/child-and-youth-programs
Naval Station Mayport,Navy,FL,,+30.3865757,-81.4222381,https://installations.militaryonesource.mil/military-installation/naval-station-mayport/child-and-youth-services/child-and-youth-programs
Naval Support Activity Orlando,Navy,FL,,+28.5842067,-81.1967792,https://installations.militaryonesource.mil/military-installation/naval-support-activity-orlando/child-and-youth-services/child-and-youth-programs
Naval Support Activity Panama City,Navy,FL,,+30.1756333,-85.7530095,https://installations.militaryonesource.mil/military-installation/naval-support-activity-panama-city/child-and-youth-services/child-and-youth-programs
Patrick SFB,Space Force,FL,,+28.2322333,-80.6099137,https://installations.militaryonesource.mil/military-installation/patrick-sfb/child-and-youth-services/child-and-youth-programs
Tyndall AFB,Air Force,FL,,+30.0438898,-85.5432152,https://installations.militaryonesource.mil/military-installation/tyndall-afb/child-and-youth-services/child-and-youth-programs
